"","level","Overall","0","1","p","test","Missing"
"location_terli_day0 (%)","1","136 (58.4)","119 (59.2)","17 (53.1)","0.776","","4.1"
"","2","42 (18.0)","36 (17.9)","6 (18.8)","","",""
"","3","55 (23.6)","46 (22.9)","9 (28.1)","","",""
"terli_route_day0 (%)","1","207 (85.2)","179 (84.8)","28 (87.5)","0.898","","0.0"
"","2","36 (14.8)","32 (15.2)","4 (12.5)","","",""
"tele_terli_day0 (%)","0","65 (29.3)","56 (29.3)","9 (29.0)","1.000","","8.6"
"","1","157 (70.7)","135 (70.7)","22 (71.0)","","",""
"he_terli_day0 (%)","0","161 (66.8)","139 (66.5)","22 (68.8)","0.796","","0.8"
"","1","54 (22.4)","46 (22.0)","8 (25.0)","","",""
"","2","20 (8.3)","19 (9.1)","1 (3.1)","","",""
"","3","5 (2.1)","4 (1.9)","1 (3.1)","","",""
"","4","1 (0.4)","1 (0.5)","0 (0.0)","","",""
"infection_terli_day0 (%)","0","161 (67.9)","141 (68.4)","20 (64.5)","0.818","","2.5"
"","1","76 (32.1)","65 (31.6)","11 (35.5)","","",""
"typeinfection_terli_day0 (%)","1","6 (7.9)","5 (7.7)","1 (9.1)","0.251","","68.7"
"","2","7 (9.2)","6 (9.2)","1 (9.1)","","",""
"","3","12 (15.8)","8 (12.3)","4 (36.4)","","",""
"","4","28 (36.8)","24 (36.9)","4 (36.4)","","",""
"","5","23 (30.3)","22 (33.8)","1 (9.1)","","",""
"hrs_responders (%)","0","109 (44.9)","91 (43.1)","18 (56.2)","0.075","","0.0"
"","1","62 (25.5)","52 (24.6)","10 (31.2)","","",""
"","2","72 (29.6)","68 (32.2)","4 (12.5)","","",""
"dosechange_terli_day1 (%)","0","177 (95.2)","159 (96.4)","18 (85.7)","0.109","","23.5"
"","1","9 (4.8)","6 (3.6)","3 (14.3)","","",""
"dosechange_terli_day2 (%)","0","157 (93.5)","140 (93.3)","17 (94.4)","1.000","","30.9"
"","1","11 (6.5)","10 (6.7)","1 (5.6)","","",""
"dosechange_terli_day3 (%)","0","110 (83.3)","101 (83.5)","9 (81.8)","1.000","","45.7"
"","1","22 (16.7)","20 (16.5)","2 (18.2)","","",""
"dosechange_terli_day4 (%)","0","60 (80.0)","56 (80.0)","4 (80.0)","1.000","","69.1"
"","1","15 (20.0)","14 (20.0)","1 (20.0)","","",""
"dosechange_terli_day5 (%)","0","54 (94.7)","52 (94.5)","2 (100.0)","1.000","","76.5"
"","1","3 (5.3)","3 (5.5)","0 (0.0)","","",""
"dosechange_terli_day6 (%)","0","38 (90.5)","37 (92.5)","1 (50.0)","0.445","","82.7"
"","1","4 (9.5)","3 (7.5)","1 (50.0)","","",""
"dosechange_terli_day7 (%)","0","32 (91.4)","31 (93.9)","1 (50.0)","0.393","","85.6"
"","1","3 (8.6)","2 (6.1)","1 (50.0)","","",""
"dosechange_terli_day8 (%)","0","21 (95.5)","20 (95.2)","1 (100.0)","1.000","","90.9"
"","1","1 (4.5)","1 (4.8)","0 (0.0)","","",""
"dosechange_terli_day9 (%)","0","17 (100.0)","16 (100.0)","1 (100.0)","NA","","93.0"
"dosechange_terli_day10 (%)","0","11 (91.7)","10 (90.9)","1 (100.0)","1.000","","95.1"
"","1","1 (8.3)","1 (9.1)","0 (0.0)","","",""
"dosechange_terli_day11 (%)","0","8 (88.9)","8 (88.9)","0 (NaN)","NaN","","96.3"
"","1","1 (11.1)","1 (11.1)","0 (NaN)","","",""
"dosechange_terli_day12 (%)","0","6 (100.0)","6 (100.0)","0 (NaN)","NA","","97.5"
"discont_aki_stage (%)","0","71 (29.2)","67 (31.8)","4 (12.5)","0.076","","0.0"
"","1","63 (25.9)","53 (25.1)","10 (31.2)","","",""
"","2","58 (23.9)","46 (21.8)","12 (37.5)","","",""
"","3","51 (21.0)","45 (21.3)","6 (18.8)","","",""
"aclf_grade (%)","1","49 (20.2)","45 (21.3)","4 (12.5)","0.192","","0.0"
"","2","85 (35.0)","76 (36.0)","9 (28.1)","","",""
"","3","109 (44.9)","90 (42.7)","19 (59.4)","","",""
"HRS_Criteria (%)","0","112 (46.1)","104 (49.3)","8 (25.0)","0.017","","0.0"
"","1","131 (53.9)","107 (50.7)","24 (75.0)","","",""
"criteria_1 (%)","0","215 (88.5)","191 (90.5)","24 (75.0)","0.023","","0.0"
"","1","28 (11.5)","20 (9.5)","8 (25.0)","","",""
"criteria_2 (%)","0","134 (55.1)","121 (57.3)","13 (40.6)","0.114","","0.0"
"","1","109 (44.9)","90 (42.7)","19 (59.4)","","",""
"criteria_3 (%)","0","233 (95.9)","203 (96.2)","30 (93.8)","0.861","","0.0"
"","1","10 (4.1)","8 (3.8)","2 (6.2)","","",""
"criteria_4 (%)","0","230 (94.7)","201 (95.3)","29 (90.6)","0.506","","0.0"
"","1","13 (5.3)","10 (4.7)","3 (9.4)","","",""
"akin (%)","1","65 (27.9)","60 (29.7)","5 (16.1)","0.046","","4.1"
"","2","70 (30.0)","55 (27.2)","15 (48.4)","","",""
"","3","98 (42.1)","87 (43.1)","11 (35.5)","","",""
"transplant_slkt (%)","0","226 (93.0)","195 (92.4)","31 (96.9)","0.583","","0.0"
"","1","17 (7.0)","16 (7.6)","1 (3.1)","","",""
"transplant_lt (%)","0","172 (70.8)","145 (68.7)","27 (84.4)","0.157","","0.0"
"","1","43 (17.7)","39 (18.5)","4 (12.5)","","",""
"","2","23 (9.5)","23 (10.9)","0 (0.0)","","",""
"","3","5 (2.1)","4 (1.9)","1 (3.1)","","",""
"rrt (%)","0","163 (67.1)","139 (65.9)","24 (75.0)","0.469","","0.0"
"","1","75 (30.9)","67 (31.8)","8 (25.0)","","",""
"","2","5 (2.1)","5 (2.4)","0 (0.0)","","",""
"rrt_2 (%)","0","168 (69.1)","144 (68.2)","24 (75.0)","0.572","","0.0"
"","1","75 (30.9)","67 (31.8)","8 (25.0)","","",""
"rrt_modality (%)","1","16 (21.3)","16 (23.9)","0 (0.0)","0.271","","69.1"
"","2","59 (78.7)","51 (76.1)","8 (100.0)","","",""
"rrt_continuous (%)","0","14 (18.7)","14 (20.9)","0 (0.0)","0.326","","69.1"
"","1","60 (80.0)","52 (77.6)","8 (100.0)","","",""
"","2","1 (1.3)","1 (1.5)","0 (0.0)","","",""
"hd_discharge (%)","0","221 (93.2)","190 (92.7)","31 (96.9)","0.617","","2.5"
"","1","16 (6.8)","15 (7.3)","1 (3.1)","","",""
"disposition (%)","1","125 (51.4)","114 (54.0)","11 (34.4)","0.311","","0.0"
"","2","23 (9.5)","19 (9.0)","4 (12.5)","","",""
"","3","19 (7.8)","15 (7.1)","4 (12.5)","","",""
"","4","25 (10.3)","20 (9.5)","5 (15.6)","","",""
"","5","51 (21.0)","43 (20.4)","8 (25.0)","","",""
"liver_f (%)","0","133 (54.7)","121 (57.3)","12 (37.5)","0.056","","0.0"
"","1","110 (45.3)","90 (42.7)","20 (62.5)","","",""
"brain_f (%)","0","217 (89.3)","187 (88.6)","30 (93.8)","0.571","","0.0"
"","1","26 (10.7)","24 (11.4)","2 (6.2)","","",""
"coagulation_f (%)","0","133 (54.7)","121 (57.3)","12 (37.5)","0.056","","0.0"
"","1","110 (45.3)","90 (42.7)","20 (62.5)","","",""
"circulatory_f (%)","0","161 (66.3)","139 (65.9)","22 (68.8)","0.905","","0.0"
"","1","82 (33.7)","72 (34.1)","10 (31.2)","","",""
"respiratory_f (%)","0","230 (94.7)","201 (95.3)","29 (90.6)","0.506","","0.0"
"","1","13 (5.3)","10 (4.7)","3 (9.4)","","",""
"kidney_f (%)","0","6 (2.5)","6 (2.8)","0 (0.0)","0.723","","0.0"
"","1","237 (97.5)","205 (97.2)","32 (100.0)","","",""
"baseline_scr_120to365 (%)","0","113 (46.9)","99 (47.1)","14 (45.2)","0.989","","0.8"
"","1","128 (53.1)","111 (52.9)","17 (54.8)","","",""
"aki_events_previous90days (%)","1","73 (76.8)","63 (75.9)","10 (83.3)","0.082","","60.9"
"","2","17 (17.9)","16 (19.3)","1 (8.3)","","",""
"","3","3 (3.2)","3 (3.6)","0 (0.0)","","",""
"","5","1 (1.1)","1 (1.2)","0 (0.0)","","",""
"","N/A","1 (1.1)","0 (0.0)","1 (8.3)","","",""
"prbc_trans_before_terli (%)","0","158 (66.9)","143 (69.8)","15 (48.4)","0.031","","2.9"
"","1","78 (33.1)","62 (30.2)","16 (51.6)","","",""
"","1","103 (42.4)","89 (42.2)","14 (43.8)","","",""
"","1","103 (42.4)","89 (42.2)","14 (43.8)","","",""
"terli_ae_abdpain (%)","0","235 (96.7)","204 (96.7)","31 (96.9)","1.000","","0.0"
"","1","8 (3.3)","7 (3.3)","1 (3.1)","","",""
"terli_ae_nausea (%)","0","237 (97.5)","205 (97.2)","32 (100.0)","0.723","","0.0"
"","1","6 (2.5)","6 (2.8)","0 (0.0)","","",""
"terli_ae_diarrhea (%)","0","240 (98.8)","208 (98.6)","32 (100.0)","1.000","","0.0"
"","1","3 (1.2)","3 (1.4)","0 (0.0)","","",""
"terli_ae_volover (%)","0","235 (96.7)","211 (100.0)","24 (75.0)","<0.001","","0.0"
"","1","8 (3.3)","0 (0.0)","8 (25.0)","","",""
"terli_ae_brady (%)","0","237 (97.5)","211 (100.0)","26 (81.2)","<0.001","","0.0"
"","1","6 (2.5)","0 (0.0)","6 (18.8)","","",""
"terli_7 (%)","0","228 (93.8)","211 (100.0)","17 (53.1)","<0.001","","0.0"
"","1","15 (6.2)","0 (0.0)","15 (46.9)","","",""
"terli_8 (%)","0","240 (98.8)","211 (100.0)","29 (90.6)","<0.001","","0.0"
"","1","3 (1.2)","0 (0.0)","3 (9.4)","","",""
"terli_ae_respfail (%)","0","220 (90.5)","211 (100.0)","9 (28.1)","<0.001","","0.0"
"","1","23 (9.5)","0 (0.0)","23 (71.9)","","",""
"any_ae (%)","0","201 (82.7)","201 (95.3)","0 (0.0)","<0.001","","0.0"
"","1","42 (17.3)","10 (4.7)","32 (100.0)","","",""
"listed_transplant (%)","0","161 (66.3)","135 (64.0)","26 (81.2)","0.085","","0.0"
"","1","82 (33.7)","76 (36.0)","6 (18.8)","","",""
"dosechange_status (%)","0","196 (80.7)","169 (80.1)","27 (84.4)","0.741","","0.0"
"","1","47 (19.3)","42 (19.9)","5 (15.6)","","",""
"hrs_rebound (%)","0","172 (82.3)","145 (81.5)","27 (87.1)","0.614","","14.0"
"","1","37 (17.7)","33 (18.5)","4 (12.9)","","",""
"race_2 (%)","0","34 (14.0)","32 (15.2)","2 (6.2)","0.280","","0.0"
"","1","209 (86.0)","179 (84.8)","30 (93.8)","","",""
"HRS_reversal_new (%)","0","168 (69.1)","140 (66.4)","28 (87.5)","0.027","","0.0"
"","1","75 (30.9)","71 (33.6)","4 (12.5)","","",""
"hrs_responders_cat_2 (%)","0","109 (44.9)","91 (43.1)","18 (56.2)","0.230","","0.0"
"","1","134 (55.1)","120 (56.9)","14 (43.8)","","",""
"time_to_death_status_90days (%)","0","141 (58.0)","123 (58.3)","18 (56.2)","0.979","","0.0"
"","1","102 (42.0)","88 (41.7)","14 (43.8)","","",""
"time_to_death_status_90days_cmp (%)","0","87 (35.8)","72 (34.1)","15 (46.9)","0.108","","0.0"
"","1","99 (40.7)","85 (40.3)","14 (43.8)","","",""
"","2","57 (23.5)","54 (25.6)","3 (9.4)","","",""
"ckd_baseline (%)","0","127 (58.8)","111 (59.0)","16 (57.1)","1.000","","11.1"
"","1","89 (41.2)","77 (41.0)","12 (42.9)","","",""
"HRS_criteria_3 (%)","0","124 (51.0)","113 (53.6)","11 (34.4)","0.067","","0.0"
"","1","119 (49.0)","98 (46.4)","21 (65.6)","","",""
