"","level","Overall","0","1","p","test","Missing"
"location_terli_day0 (%)","1","136 (58.4)","125 (56.3)","11 (100.0)","0.016","","4.1"
"","2","42 (18.0)","42 (18.9)","0 (0.0)","","",""
"","3","55 (23.6)","55 (24.8)","0 (0.0)","","",""
"terli_route_day0 (%)","1","207 (85.2)","196 (84.5)","11 (100.0)","0.326","","0.0"
"","2","36 (14.8)","36 (15.5)","0 (0.0)","","",""
"tele_terli_day0 (%)","0","65 (29.3)","61 (28.9)","4 (36.4)","0.849","","8.6"
"","1","157 (70.7)","150 (71.1)","7 (63.6)","","",""
"he_terli_day0 (%)","0","161 (66.8)","150 (65.2)","11 (100.0)","0.220","","0.8"
"","1","54 (22.4)","54 (23.5)","0 (0.0)","","",""
"","2","20 (8.3)","20 (8.7)","0 (0.0)","","",""
"","3","5 (2.1)","5 (2.2)","0 (0.0)","","",""
"","4","1 (0.4)","1 (0.4)","0 (0.0)","","",""
"infection_terli_day0 (%)","0","161 (67.9)","152 (67.3)","9 (81.8)","0.497","","2.5"
"","1","76 (32.1)","74 (32.7)","2 (18.2)","","",""
"typeinfection_terli_day0 (%)","1","6 (7.9)","6 (8.1)","0 (0.0)","0.904","","68.7"
"","2","7 (9.2)","7 (9.5)","0 (0.0)","","",""
"","3","12 (15.8)","12 (16.2)","0 (0.0)","","",""
"","4","28 (36.8)","27 (36.5)","1 (50.0)","","",""
"","5","23 (30.3)","22 (29.7)","1 (50.0)","","",""
"hrs_responders (%)","0","109 (44.9)","101 (43.5)","8 (72.7)","0.144","","0.0"
"","1","62 (25.5)","60 (25.9)","2 (18.2)","","",""
"","2","72 (29.6)","71 (30.6)","1 (9.1)","","",""
"dosechange_terli_day1 (%)","0","177 (95.2)","175 (95.6)","2 (66.7)","0.336","","23.5"
"","1","9 (4.8)","8 (4.4)","1 (33.3)","","",""
"dosechange_terli_day2 (%)","0","157 (93.5)","155 (93.4)","2 (100.0)","1.000","","30.9"
"","1","11 (6.5)","11 (6.6)","0 (0.0)","","",""
"dosechange_terli_day3 (%)","0","110 (83.3)","109 (83.2)","1 (100.0)","1.000","","45.7"
"","1","22 (16.7)","22 (16.8)","0 (0.0)","","",""
"dosechange_terli_day4 (%)","0","60 (80.0)","60 (80.0)","0 (NaN)","NaN","","69.1"
"","1","15 (20.0)","15 (20.0)","0 (NaN)","","",""
"dosechange_terli_day5 (%)","0","54 (94.7)","54 (94.7)","0 (NaN)","NaN","","76.5"
"","1","3 (5.3)","3 (5.3)","0 (NaN)","","",""
"dosechange_terli_day6 (%)","0","38 (90.5)","38 (90.5)","0 (NaN)","NaN","","82.7"
"","1","4 (9.5)","4 (9.5)","0 (NaN)","","",""
"dosechange_terli_day7 (%)","0","32 (91.4)","32 (91.4)","0 (NaN)","NaN","","85.6"
"","1","3 (8.6)","3 (8.6)","0 (NaN)","","",""
"dosechange_terli_day8 (%)","0","21 (95.5)","21 (95.5)","0 (NaN)","NaN","","90.9"
"","1","1 (4.5)","1 (4.5)","0 (NaN)","","",""
"dosechange_terli_day9 (%)","0","17 (100.0)","17 (100.0)","0 (NaN)","NA","","93.0"
"dosechange_terli_day10 (%)","0","11 (91.7)","11 (91.7)","0 (NaN)","NaN","","95.1"
"","1","1 (8.3)","1 (8.3)","0 (NaN)","","",""
"dosechange_terli_day11 (%)","0","8 (88.9)","8 (88.9)","0 (NaN)","NaN","","96.3"
"","1","1 (11.1)","1 (11.1)","0 (NaN)","","",""
"dosechange_terli_day12 (%)","0","6 (100.0)","6 (100.0)","0 (NaN)","NA","","97.5"
"discont_aki_stage (%)","0","71 (29.2)","70 (30.2)","1 (9.1)","0.271","","0.0"
"","1","63 (25.9)","61 (26.3)","2 (18.2)","","",""
"","2","58 (23.9)","54 (23.3)","4 (36.4)","","",""
"","3","51 (21.0)","47 (20.3)","4 (36.4)","","",""
"aclf_grade (%)","1","49 (20.2)","48 (20.7)","1 (9.1)","0.622","","0.0"
"","2","85 (35.0)","81 (34.9)","4 (36.4)","","",""
"","3","109 (44.9)","103 (44.4)","6 (54.5)","","",""
"HRS_Criteria (%)","0","112 (46.1)","110 (47.4)","2 (18.2)","0.112","","0.0"
"","1","131 (53.9)","122 (52.6)","9 (81.8)","","",""
"criteria_1 (%)","0","215 (88.5)","209 (90.1)","6 (54.5)","0.002","","0.0"
"","1","28 (11.5)","23 (9.9)","5 (45.5)","","",""
"criteria_2 (%)","0","134 (55.1)","129 (55.6)","5 (45.5)","0.726","","0.0"
"","1","109 (44.9)","103 (44.4)","6 (54.5)","","",""
"criteria_3 (%)","0","233 (95.9)","222 (95.7)","11 (100.0)","1.000","","0.0"
"","1","10 (4.1)","10 (4.3)","0 (0.0)","","",""
"criteria_4 (%)","0","230 (94.7)","219 (94.4)","11 (100.0)","0.903","","0.0"
"","1","13 (5.3)","13 (5.6)","0 (0.0)","","",""
"akin (%)","1","65 (27.9)","63 (28.4)","2 (18.2)","0.750","","4.1"
"","2","70 (30.0)","66 (29.7)","4 (36.4)","","",""
"","3","98 (42.1)","93 (41.9)","5 (45.5)","","",""
"transplant_slkt (%)","0","226 (93.0)","215 (92.7)","11 (100.0)","0.744","","0.0"
"","1","17 (7.0)","17 (7.3)","0 (0.0)","","",""
"transplant_lt (%)","0","172 (70.8)","164 (70.7)","8 (72.7)","0.587","","0.0"
"","1","43 (17.7)","40 (17.2)","3 (27.3)","","",""
"","2","23 (9.5)","23 (9.9)","0 (0.0)","","",""
"","3","5 (2.1)","5 (2.2)","0 (0.0)","","",""
"rrt (%)","0","163 (67.1)","155 (66.8)","8 (72.7)","0.844","","0.0"
"","1","75 (30.9)","72 (31.0)","3 (27.3)","","",""
"","2","5 (2.1)","5 (2.2)","0 (0.0)","","",""
"rrt_2 (%)","0","168 (69.1)","160 (69.0)","8 (72.7)","1.000","","0.0"
"","1","75 (30.9)","72 (31.0)","3 (27.3)","","",""
"rrt_modality (%)","1","16 (21.3)","16 (22.2)","0 (0.0)","0.840","","69.1"
"","2","59 (78.7)","56 (77.8)","3 (100.0)","","",""
"rrt_continuous (%)","0","14 (18.7)","14 (19.4)","0 (0.0)","0.677","","69.1"
"","1","60 (80.0)","57 (79.2)","3 (100.0)","","",""
"","2","1 (1.3)","1 (1.4)","0 (0.0)","","",""
"hd_discharge (%)","0","221 (93.2)","211 (93.4)","10 (90.9)","1.000","","2.5"
"","1","16 (6.8)","15 (6.6)","1 (9.1)","","",""
"disposition (%)","1","125 (51.4)","122 (52.6)","3 (27.3)","0.530","","0.0"
"","2","23 (9.5)","21 (9.1)","2 (18.2)","","",""
"","3","19 (7.8)","18 (7.8)","1 (9.1)","","",""
"","4","25 (10.3)","23 (9.9)","2 (18.2)","","",""
"","5","51 (21.0)","48 (20.7)","3 (27.3)","","",""
"liver_f (%)","0","133 (54.7)","127 (54.7)","6 (54.5)","1.000","","0.0"
"","1","110 (45.3)","105 (45.3)","5 (45.5)","","",""
"brain_f (%)","0","217 (89.3)","206 (88.8)","11 (100.0)","0.499","","0.0"
"","1","26 (10.7)","26 (11.2)","0 (0.0)","","",""
"coagulation_f (%)","0","133 (54.7)","128 (55.2)","5 (45.5)","0.747","","0.0"
"","1","110 (45.3)","104 (44.8)","6 (54.5)","","",""
"circulatory_f (%)","0","161 (66.3)","156 (67.2)","5 (45.5)","0.243","","0.0"
"","1","82 (33.7)","76 (32.8)","6 (54.5)","","",""
"respiratory_f (%)","0","230 (94.7)","219 (94.4)","11 (100.0)","0.903","","0.0"
"","1","13 (5.3)","13 (5.6)","0 (0.0)","","",""
"kidney_f (%)","0","6 (2.5)","6 (2.6)","0 (0.0)","1.000","","0.0"
"","1","237 (97.5)","226 (97.4)","11 (100.0)","","",""
"baseline_scr_120to365 (%)","0","113 (46.9)","104 (45.2)","9 (81.8)","0.039","","0.8"
"","1","128 (53.1)","126 (54.8)","2 (18.2)","","",""
"aki_events_previous90days (%)","1","73 (76.8)","68 (76.4)","5 (83.3)","0.003","","60.9"
"","2","17 (17.9)","17 (19.1)","0 (0.0)","","",""
"","3","3 (3.2)","3 (3.4)","0 (0.0)","","",""
"","5","1 (1.1)","1 (1.1)","0 (0.0)","","",""
"","N/A","1 (1.1)","0 (0.0)","1 (16.7)","","",""
"prbc_trans_before_terli (%)","0","158 (66.9)","150 (66.7)","8 (72.7)","0.929","","2.9"
"","1","78 (33.1)","75 (33.3)","3 (27.3)","","",""
"terli_ae_abdpain (%)","0","235 (96.7)","232 (100.0)","3 (27.3)","<0.001","","0.0"
"","1","8 (3.3)","0 (0.0)","8 (72.7)","","",""
"terli_ae_nausea (%)","0","237 (97.5)","232 (100.0)","5 (45.5)","<0.001","","0.0"
"","1","6 (2.5)","0 (0.0)","6 (54.5)","","",""
"terli_ae_diarrhea (%)","0","240 (98.8)","232 (100.0)","8 (72.7)","<0.001","","0.0"
"","1","3 (1.2)","0 (0.0)","3 (27.3)","","",""
"terli_ae_volover (%)","0","235 (96.7)","225 (97.0)","10 (90.9)","0.812","","0.0"
"","1","8 (3.3)","7 (3.0)","1 (9.1)","","",""
"terli_ae_brady (%)","0","237 (97.5)","226 (97.4)","11 (100.0)","1.000","","0.0"
"","1","6 (2.5)","6 (2.6)","0 (0.0)","","",""
"terli_7 (%)","0","228 (93.8)","217 (93.5)","11 (100.0)","0.818","","0.0"
"","1","15 (6.2)","15 (6.5)","0 (0.0)","","",""
"terli_8 (%)","0","240 (98.8)","229 (98.7)","11 (100.0)","1.000","","0.0"
"","1","3 (1.2)","3 (1.3)","0 (0.0)","","",""
"terli_ae_respfail (%)","0","220 (90.5)","210 (90.5)","10 (90.9)","1.000","","0.0"
"","1","23 (9.5)","22 (9.5)","1 (9.1)","","",""
"any_ae (%)","0","201 (82.7)","201 (86.6)","0 (0.0)","<0.001","","0.0"
"","1","42 (17.3)","31 (13.4)","11 (100.0)","","",""
"listed_transplant (%)","0","161 (66.3)","153 (65.9)","8 (72.7)","0.890","","0.0"
"","1","82 (33.7)","79 (34.1)","3 (27.3)","","",""
"dosechange_status (%)","0","196 (80.7)","185 (79.7)","11 (100.0)","0.204","","0.0"
"","1","47 (19.3)","47 (20.3)","0 (0.0)","","",""
"hrs_rebound (%)","0","172 (82.3)","162 (81.8)","10 (90.9)","0.717","","14.0"
"","1","37 (17.7)","36 (18.2)","1 (9.1)","","",""
"race_2 (%)","0","34 (14.0)","32 (13.8)","2 (18.2)","1.000","","0.0"
"","1","209 (86.0)","200 (86.2)","9 (81.8)","","",""
"HRS_reversal_new (%)","0","168 (69.1)","160 (69.0)","8 (72.7)","1.000","","0.0"
"","1","75 (30.9)","72 (31.0)","3 (27.3)","","",""
"hrs_responders_cat_2 (%)","0","109 (44.9)","101 (43.5)","8 (72.7)","0.111","","0.0"
"","1","134 (55.1)","131 (56.5)","3 (27.3)","","",""
"time_to_death_status_90days (%)","0","141 (58.0)","136 (58.6)","5 (45.5)","0.581","","0.0"
"","1","102 (42.0)","96 (41.4)","6 (54.5)","","",""
"time_to_death_status_90days_cmp (%)","0","87 (35.8)","85 (36.6)","2 (18.2)","0.447","","0.0"
"","1","99 (40.7)","93 (40.1)","6 (54.5)","","",""
"","2","57 (23.5)","54 (23.3)","3 (27.3)","","",""
"ckd_baseline (%)","0","127 (58.8)","123 (59.1)","4 (50.0)","0.881","","11.1"
"","1","89 (41.2)","85 (40.9)","4 (50.0)","","",""
"HRS_criteria_3 (%)","0","124 (51.0)","119 (51.3)","5 (45.5)","0.944","","0.0"
"","1","119 (49.0)","113 (48.7)","6 (54.5)","","",""
